term,warmth,competence,sociability,trust1
stargaze,0.889,-0.037,0.889,0.037
stargazer,0.542,0.074,0.542,0.033
stargazing,0.714,0.418,0.714,0.083
stark,-0.542,0.154,-0.542,0.139
starkly,-0.667,0.0,-0.667,0.0
starkness,-0.667,0.074,-0.667,0.03
starless,-0.667,-0.25,-0.667,-0.061
starlet,0.333,0.174,0.333,-0.091
starlight,0.778,0.222,0.778,0.152
starred,0.208,0.524,0.208,0.0
starriness,0.444,0.0,0.444,0.03
stars,0.625,-0.032,0.625,0.242
starship,0.0,0.408,0.0,0.0
starstruck,0.381,-0.481,0.381,-0.033
start,0.429,0.178,0.429,0.182
start date,0.194,-0.022,0.167,0.194
start in,0.095,0.234,0.095,0.028
start off,0.417,-0.166,0.417,0.0
start with,0.583,0.214,0.583,0.0
starter,0.292,0.654,0.292,0.182
starting line,0.167,0.404,0.167,0.03
starting point,0.143,0.266,0.143,0.121
startle,-0.25,-0.166,-0.25,-0.056
startled,-0.286,0.052,-0.286,-0.139
startler,-0.37,0.0,-0.37,-0.091
startling,-0.143,0.66,-0.143,0.0
starvation,-0.952,-0.432,-0.952,-0.042
starve,-0.792,-0.196,-0.792,-0.148
starved,-0.852,-0.524,-0.852,0.083
starving,-0.708,-0.328,-0.708,-0.167
stash,-0.533,-0.278,0.042,-0.533
stashed,-0.556,0.458,-0.111,-0.556
stasis,-0.37,-0.556,-0.37,0.0
state fair,0.815,0.068,0.815,0.515
state park,0.889,0.258,0.889,0.667
state university,0.636,0.312,0.389,0.636
statehood,0.481,0.889,0.286,0.481
statehouse,0.515,0.852,0.0,0.515
stateless,-0.667,-0.5,-0.667,-0.091
stateliness,0.611,0.889,-0.25,0.611
stately,0.556,0.83,0.429,0.556
statement,0.815,0.65,0.0,0.815
stateroom,0.133,-0.118,0.0,0.133
stateside,0.381,0.416,0.381,0.056
statesmanship,0.8,0.708,0.667,0.8
stateswoman,0.963,0.778,0.619,0.963
static,-0.5,-0.268,-0.5,0.0
staticky,-0.5,-0.284,-0.5,0.0
statin,-0.375,0.167,-0.375,0.167
station,0.167,0.038,0.0,0.167
station wagon,0.208,0.066,0.208,0.121
stationmaster,0.667,0.704,0.296,0.667
statistical,0.727,0.254,-0.042,0.727
stator,-0.333,0.114,-0.333,0.0
statuesque,0.476,0.524,0.476,0.121
statuesquely,-0.417,0.667,-0.417,0.0
statuette,0.185,0.036,0.185,0.03
statured,0.061,0.286,0.042,0.061
status,0.212,0.176,0.0,0.212
staunchly,0.727,0.952,0.042,0.727
staunchness,0.939,0.762,0.556,0.939
stay alive,1.0,0.142,1.0,0.167
stay away,-0.667,-0.276,-0.667,-0.091
stay back,-0.481,-0.406,-0.481,-0.028
stay behind,-0.381,-0.266,-0.381,0.028
stay down,-0.5,-0.396,-0.5,-0.037
stay hungry,0.042,0.0,0.042,0.0
stay off,-0.429,-0.44,-0.429,0.033
stay on,0.2,0.222,0.167,0.2
stay together,0.952,0.31,0.952,0.722
stay tuned,0.167,0.138,0.167,0.0
stay up,0.375,0.034,0.375,0.121
stay well,0.889,0.192,0.889,0.194
stay with,1.0,0.124,1.0,0.296
stayaway,-0.667,0.052,-0.667,-0.5
staying power,0.697,0.482,0.542,0.697
stays,0.121,0.128,0.111,0.121
steadfastly,0.909,0.852,0.593,0.909
steadfastness,0.97,0.952,0.926,0.97
steadier,0.708,0.667,0.542,0.708
steadiness,0.8,0.63,0.571,0.8
steady,0.758,0.541,0.524,0.758
steak,0.381,-0.37,0.381,0.111
steak house,0.583,-0.2,0.583,0.212
steakhouse,0.625,0.094,0.625,0.222
steal,-0.939,0.056,-0.917,-0.939
stealer,-0.958,0.375,-0.958,-0.909
stealing,-1.0,-0.09,-1.0,-1.0
stealthily,-0.708,-0.084,-0.708,-0.545
stealthy,-0.593,0.068,-0.593,-0.259
steam ahead,0.611,0.062,0.611,0.333
steamboat,0.417,0.266,0.417,0.03
steamily,0.625,-0.333,0.625,-0.125
steamroller,-0.667,0.334,-0.667,-0.528
steeliness,-0.667,0.905,-0.667,0.5
steelmaker,-0.381,0.75,-0.381,0.333
steep,-0.19,-0.358,-0.19,0.0
steeple,0.222,0.0,0.0,0.222
steeplechase,0.148,0.296,0.148,0.061
steeplechaser,0.048,0.625,0.048,0.0
steeply,0.026,0.125,0.0,0.026
steerage,-0.417,-0.185,-0.417,0.0
stegosaurus,0.0,0.37,0.0,0.0
stellar,0.75,0.538,0.625,0.75
stemmed,-0.028,-0.444,0.0,-0.028
stemware,0.0,0.0,0.0,0.0
stench,-0.958,-0.404,-0.958,-0.167
stenosis,-0.583,-0.5,-0.583,-0.061
step back,0.111,-0.266,0.111,0.03
step down,0.467,-0.38,-0.167,0.467
step forward,0.926,0.366,0.926,0.533
step off,-0.583,-0.388,-0.583,-0.056
step over,-0.375,-0.376,-0.375,-0.067
stepbrother,0.208,0.0,0.208,0.03
stepfather,0.417,0.222,0.417,0.121
stepladder,0.061,0.095,0.0,0.061
stepping down,0.303,-0.28,-0.167,0.303
stepping stone,0.5,0.414,0.5,0.233
steppingstone,0.619,0.375,0.619,0.3
stepstool,0.125,-0.25,0.125,0.042
stereogram,0.0,0.333,0.0,0.0
stereophonic,0.042,0.5,0.042,0.03
stereoscope,0.167,0.185,0.167,0.03
stereoscopic,0.03,0.148,0.0,0.03
stereotype,-0.667,0.224,-0.667,-0.444
stereotyped,-0.667,-0.128,-0.524,-0.667
stereotypic,-0.667,0.0,-0.667,-0.25
stereotypical,-0.583,-0.5,-0.583,-0.5
sterile,-0.625,-0.418,-0.625,0.0
sterility,-0.5,-0.172,-0.5,-0.182
sterilizer,-0.583,0.583,-0.583,0.121
sternness,-0.625,0.75,-0.625,0.481
steroid,-0.519,0.362,-0.519,-0.167
steroids,-0.788,0.792,-0.524,-0.788
stew,0.852,-0.5,0.852,-0.111
steward,0.905,0.1,0.905,0.697
stewardess,0.708,-0.018,0.708,0.583
stfu,-1.0,-0.22,-1.0,-0.97
stick,-0.042,-0.236,-0.042,0.03
stick around,0.867,-0.266,0.867,0.733
stick on,-0.167,0.218,-0.167,0.0
stick out,-0.125,-0.13,-0.125,0.0
stick shift,-0.19,0.0,-0.19,0.028
stick with,0.857,0.186,0.857,0.606
stickiness,-0.333,-0.375,-0.333,0.03
sticking out,-0.167,-0.31,-0.167,0.0
stickler,-0.458,-0.166,-0.458,0.444
sticky,-0.417,-0.416,-0.417,-0.061
sticky fingers,-0.867,0.172,-0.762,-0.867
stiff,-0.667,0.138,-0.667,-0.182
stiffen,-0.458,0.438,-0.458,-0.033
stiffly,-0.625,-0.333,-0.625,-0.121
stiffness,-0.556,0.314,-0.556,-0.121
stifle,-0.667,-0.146,-0.667,-0.194
stifled,-0.458,-0.614,-0.458,-0.148
stifler,-0.619,-0.042,-0.619,-0.083
stifling,-0.619,0.216,-0.619,-0.333
stigma,-0.727,-0.06,-0.667,-0.727
stigmata,-0.593,-0.296,-0.593,0.0
stigmatically,-0.667,-0.667,-0.667,-0.364
stigmatism,-0.704,-0.292,-0.704,-0.633
stigmatization,-0.708,-0.667,-0.708,-0.697
stigmatize,-0.81,0.708,-0.81,-0.778
stile,0.03,0.382,0.0,0.03
stiletto,-0.333,-0.146,-0.333,-0.133
still,0.1,-0.381,0.074,0.1
stillbirth,-0.833,-0.418,-0.833,-0.074
stillborn,-0.889,-0.326,-0.889,-0.083
stillness,0.3,-0.322,0.125,0.3
stillwaiting,0.037,-0.16,0.0,0.037
stimulate,0.676,0.508,0.676,0.111
stimulating,0.857,0.618,0.857,0.333
stimulation,0.519,0.404,0.519,0.299
stimulator,0.542,0.667,0.542,0.028
stimulatory,0.333,0.444,0.333,0.0
stimulus,0.148,0.5,0.148,0.03
sting,-0.619,-0.254,-0.619,-0.606
stinger,-0.667,0.016,-0.667,-0.481
stingily,-0.875,-0.556,-0.875,-0.667
stinginess,-0.889,-0.556,-0.889,-0.767
stinging,-0.667,-0.082,-0.667,-0.212
stingless,0.208,-0.333,0.208,0.067
stingy,-0.812,-0.434,-0.812,-0.639
stink,-0.81,-0.64,-0.81,-0.636
stink eye,-0.704,-0.214,-0.704,-0.697
stinkbug,-0.583,-0.074,-0.583,-0.048
stinker,-0.833,-0.45,-0.619,-0.833
stinking,-0.905,-0.472,-0.905,-0.769
stinkpot,-0.792,-0.583,-0.792,-0.733
stinkweed,-0.815,-0.25,-0.815,-0.545
stinky,-0.875,-0.648,-0.875,-0.472
stir crazy,-0.444,0.25,-0.444,-0.121
stirred,0.25,0.042,0.25,0.028
stirrup,0.042,-0.208,0.042,0.037
stitch,0.167,-0.286,0.167,0.0
stockade,-0.762,0.0,-0.762,0.033
stockbreeder,0.485,0.542,0.375,0.485
stockcar,-0.524,0.542,-0.524,0.0
stockholding,-0.167,0.611,-0.167,0.091
stockholm,0.222,0.0,0.222,0.056
stockholm syndrome,-0.667,-0.26,-0.667,-0.444
stockman,0.515,0.556,0.167,0.515
stockowner,0.242,0.792,0.0,0.242
stocktaking,0.472,0.458,0.048,0.472
stockyard,-0.333,-0.417,-0.333,0.0
stodge,-0.625,-0.292,-0.625,-0.267
stodgily,-0.542,-0.481,-0.542,-0.139
stodginess,-0.619,-0.5,-0.619,0.3
stodgy,-0.542,-0.625,-0.542,0.267
stoical,0.667,0.63,-0.444,0.667
stoically,0.639,0.63,-0.458,0.639
stole,-1.0,-0.232,-1.0,-0.939
stolen,-0.939,-0.384,-0.667,-0.939
stoma,-0.583,-0.583,-0.583,0.0
stomach,0.212,-0.124,0.0,0.212
stomach ache,-0.125,-0.324,-0.125,0.0
stomach flu,-0.476,-0.586,-0.476,-0.03
stomachache,-0.333,-0.368,-0.333,0.061
stomp,-0.556,-0.124,-0.556,-0.133
stomp on,-0.733,-0.148,-0.619,-0.733
stomped,-0.583,-0.188,-0.583,-0.417
stomper,-0.458,0.667,-0.458,-0.364
stone,-0.714,0.122,-0.714,0.014
stone age,-0.286,0.096,-0.286,0.0
stone cold,-1.0,0.028,-1.0,-0.121
stoned,-0.733,-0.25,-0.667,-0.733
stonefish,-0.556,0.296,-0.556,-0.074
stonehearted,-1.0,0.815,-1.0,-0.889
stonemasonry,0.545,0.583,0.0,0.545
stonewall,-0.75,0.31,-0.75,-0.633
stonework,0.485,0.083,-0.381,0.485
stonily,-0.667,-0.458,-0.667,-0.25
stony,-0.667,0.05,-0.667,-0.077
stonyhearted,-1.0,0.958,-1.0,-0.727
stoop to,-0.542,-0.258,-0.542,-0.519
stoopid,-0.788,-0.236,-0.583,-0.788
stop,-0.083,-0.02,-0.083,0.083
stop at,-0.042,-0.484,-0.042,0.0
stop by,0.958,-0.4,0.958,0.091
stop in,0.429,-0.384,0.429,0.03
stop light,0.7,-0.124,0.042,0.7
stop on,-0.25,-0.184,-0.25,0.0
stop over,0.143,-0.29,0.143,0.0
stop sign,0.7,0.0,-0.125,0.7
stoppage,-0.125,-0.11,-0.125,0.0
stoppage time,0.0,-0.226,0.0,0.0
stopper,-0.333,-0.22,-0.333,0.111
stopping,0.167,-0.054,0.0,0.167
storable,0.152,0.222,0.0,0.152
storage,0.182,0.128,0.0,0.182
store,0.303,-0.186,0.167,0.303
stored,0.037,0.25,0.0,0.037
storekeeper,0.5,0.458,0.429,0.5
storied,0.424,0.458,0.238,0.424
storing,0.333,0.096,0.0,0.333
stork,0.125,0.0,0.125,0.061
storm,-0.524,0.086,-0.524,-0.091
storminess,-0.458,0.429,-0.458,-0.389
storming,-0.429,0.338,-0.429,-0.273
stormy,-0.667,0.124,-0.667,-0.061
story,0.833,0.408,0.833,0.1
storyboard,0.292,0.593,0.292,0.06
storybook,0.571,-0.234,0.571,0.533
storyline,0.167,-0.2,0.167,0.0
storyteller,0.944,-0.076,0.944,0.467
storytelling,0.958,-0.056,0.958,0.528
storywriter,0.63,0.583,0.63,0.278
stout,0.375,0.634,0.375,0.152
stouthearted,0.722,0.714,0.625,0.722
stoutheartedly,0.611,0.958,0.25,0.611
stoutly,0.212,0.625,0.208,0.212
stoutness,0.286,0.519,0.286,0.061
stowaway,-0.545,-0.286,-0.185,-0.545
straddle,-0.042,-0.112,-0.042,0.0
straggle,-0.222,-0.625,-0.222,-0.139
straggler,-0.333,-0.667,-0.333,-0.194
straight answer,0.933,0.26,0.667,0.933
straight away,0.583,0.26,0.583,0.074
straight days,0.133,0.142,0.037,0.133
straight forward,0.788,0.342,0.556,0.788
straight games,0.515,0.214,0.0,0.515
straight hair,0.1,-0.034,0.048,0.1
straight home,0.611,0.38,-0.056,0.611
straight lines,0.875,0.214,-0.056,0.875
straight men,0.061,0.366,0.042,0.061
straight shooter,1.0,0.358,0.778,1.0
straightedge,0.611,0.444,-0.429,0.611
straighten,0.767,0.37,0.333,0.767
straightforward,0.944,-0.24,0.833,0.944
straightforwardly,0.939,0.5,0.704,0.939
straightforwardness,0.879,0.63,0.857,0.879
straightjacket,-0.75,-0.917,-0.75,-0.533
straightness,0.909,0.296,0.074,0.909
straightway,0.479,0.13,0.125,0.479
strain,-0.296,-0.24,-0.296,-0.03
strained,-0.583,0.16,-0.583,-0.111
straitjacket,-0.8,0.158,-0.708,-0.8
strand,-0.417,0.076,-0.417,0.0
stranded,-0.542,-0.562,-0.542,-0.121
strange,-0.417,-0.21,-0.417,-0.182
strangely,-0.333,0.0,-0.333,-0.095
stranger,-0.481,-0.396,-0.481,-0.222
stranger danger,-0.767,-0.242,-0.708,-0.767
strangest,-0.625,0.0,-0.625,0.091
strangle,-1.0,0.054,-1.0,-0.909
strangled,-1.0,-0.852,-1.0,-0.125
stranglehold,-0.708,1.0,-0.708,-0.639
strangler,-1.0,0.958,-1.0,-0.889
strangulate,-0.905,0.519,-0.905,-0.788
strangulation,-1.0,0.084,-1.0,-1.0
strap,0.091,-0.236,-0.042,0.091
strapless,0.1,-0.454,0.0,0.1
strapped,-0.333,-0.556,-0.333,-0.212
stratagem,-0.733,0.667,-0.111,-0.733
strategic,0.364,0.861,-0.095,0.364
strategies,0.212,1.0,0.0,0.212
strategize,0.333,0.833,0.296,0.333
strategy,0.2,0.836,0.0,0.2
stratospheric,-0.238,0.875,-0.238,0.0
stratum,0.0,0.02,0.0,0.0
straw man,-0.583,-0.066,-0.583,-0.467
strawberries,0.889,0.0,0.889,0.1
strawberry,0.933,-0.328,0.933,0.0
strawberry jam,1.0,0.0,1.0,0.121
strawman,-0.733,-0.389,-0.667,-0.733
stray,-0.375,-0.438,-0.375,-0.37
stray cat,-0.296,-0.366,0.0,-0.296
streamline,0.333,0.236,0.0,0.333
streamlined,0.148,0.63,0.048,0.148
streamliner,0.208,0.63,0.208,0.167
streamside,0.429,0.0,0.429,0.067
street corner,-0.364,-0.194,0.0,-0.364
street smart,0.571,0.148,0.571,0.375
streetcar,0.091,0.132,0.083,0.091
streetlamp,0.238,0.037,0.238,0.033
streetlight,0.25,-0.22,0.25,0.033
streetscape,0.167,0.0,0.167,0.0
streetwalker,-0.952,-0.667,-0.952,-0.792
streetwalking,-0.8,-0.625,-0.708,-0.8
streetwise,0.583,0.667,0.583,0.121
strength,0.81,0.716,0.556,0.81
strengthen,0.583,0.971,0.583,0.5
strengthener,0.545,0.708,0.417,0.545
strengthening,0.694,0.89,0.542,0.694
strenuous,-0.542,-0.038,-0.542,0.194
strenuousness,0.485,0.625,0.0,0.485
strep,-0.619,-0.294,-0.619,0.0
strep throat,-0.125,-0.258,-0.125,-0.083
streptococcal,-0.81,-0.556,-0.81,-0.121
streptococci,-0.792,-0.583,-0.792,-0.03
streptococcus,-0.889,-0.571,-0.889,-0.333
stress,-0.5,-0.366,-0.5,-0.194
stress out,-0.542,-0.236,-0.542,-0.033
stress test,-0.375,-0.154,-0.375,0.152
stressed,-0.381,0.004,-0.381,-0.182
stressed out,-0.37,-0.458,-0.37,-0.182
stresses,-0.417,-0.208,-0.417,0.0
stressfree,0.905,0.26,0.905,0.788
stressful,-0.625,-0.222,-0.625,-0.233
stressfully,-0.571,-0.583,-0.571,-0.25
stressin,-0.571,-0.266,-0.571,-0.25
stressing,-0.556,-0.076,-0.556,0.0
stressor,-0.5,-0.481,-0.5,-0.267
stressrelief,0.875,-0.05,0.875,0.074
stretchable,0.056,0.185,0.0,0.056
stretched out,-0.056,-0.29,-0.056,0.0
stricken,-0.381,-0.264,-0.381,-0.037
strictly speaking,-0.5,0.154,-0.5,0.148
strictness,0.583,0.81,-0.542,0.583
stridence,-0.667,0.708,-0.667,-0.37
stridency,-0.714,0.741,-0.714,-0.556
strident,-0.667,0.704,-0.667,-0.545
stridently,-0.667,0.917,-0.667,-0.333
strife,-0.697,0.26,-0.619,-0.697
strike,-0.583,0.142,-0.583,-0.364
strike at,-0.667,-0.166,-0.667,-0.576
strike back,-0.519,0.034,-0.519,-0.1
strike on,-0.389,-0.068,-0.389,0.0
strike out,-0.542,-0.066,-0.542,0.0
strike zone,0.111,0.448,-0.042,0.111
strikebreaker,-0.75,1.0,-0.75,-0.545
strikeout,-0.476,-0.258,-0.476,0.0
striking,0.167,0.314,0.0,0.167
strikingly,0.238,0.622,0.238,0.033
string,0.292,-0.11,0.292,0.0
string together,0.296,0.172,0.296,0.0
stringency,-0.583,0.667,-0.583,0.417
stringent,-0.667,0.926,-0.667,0.583
strings attached,-0.733,0.172,-0.238,-0.733
strip away,-0.583,-0.112,-0.583,-0.233
strip club,-0.636,-0.194,-0.619,-0.636
strip of,-0.208,-0.334,-0.208,-0.194
stripe,0.0,-0.278,0.0,0.0
striped,0.03,-0.23,0.013,0.03
stripped,-0.381,-0.444,-0.381,-0.194
stripper,-0.6,-0.094,-0.222,-0.6
stripper pole,-0.714,-0.2,-0.714,-0.133
stripteaser,-0.758,-0.333,-0.6,-0.758
strived,0.538,0.667,0.292,0.538
striver,0.792,0.704,0.792,0.633
strode,0.273,0.704,0.0,0.273
stroganoff,0.222,0.0,0.222,0.056
stroll,0.625,-0.112,0.625,0.074
stroller,0.815,-0.372,0.815,0.2
strolling,0.762,-0.32,0.762,0.067
strong,0.542,0.79,0.542,0.303
strong case,0.667,0.6,0.333,0.667
strong man,0.485,0.742,0.125,0.485
strong point,0.576,0.4,0.167,0.576
strong sense,0.7,0.536,0.5,0.7
strong suit,0.485,0.392,0.238,0.485
strong support,1.0,0.28,1.0,0.788
strongest,0.167,0.594,0.167,0.139
stronghold,0.667,0.926,-0.476,0.667
strongly,0.556,0.77,0.111,0.556
strongman,-0.238,1.0,-0.238,-0.2
strongpoint,0.667,0.857,0.222,0.667
strove,0.429,0.556,0.429,0.182
struck,-0.333,0.034,-0.333,0.0
structuralize,-0.238,0.556,-0.238,0.152
structured,0.633,0.704,0.333,0.633
strudel,0.417,-0.206,0.417,0.0
struggle,0.333,0.482,0.333,0.278
struggle on,0.048,-0.4,0.048,-0.033
struggle to,-0.25,-0.31,-0.25,-0.095
struggled,-0.143,-0.667,-0.143,-0.121
struggler,-0.152,-0.524,-0.148,-0.152
strum,0.25,0.0,0.25,0.026
strumpet,-0.926,-0.833,-0.792,-0.926
strung,-0.375,-0.37,-0.375,-0.037
stub,-0.125,-0.266,-0.125,0.0
stubbed,-0.333,-0.518,-0.333,-0.03
stubble,-0.083,-0.472,-0.083,0.056
stubborn,-0.5,0.15,-0.5,-0.333
stubbornly,-0.667,0.611,-0.667,-0.364
stubbornness,-0.524,0.016,-0.524,-0.361
stuck,-0.458,-0.43,-0.458,-0.121
stuck on,-0.042,-0.482,-0.042,0.03
stuck up,-0.917,-0.194,-0.917,-0.455
stuck with,0.19,-0.488,0.19,-0.083
stuckup,-0.958,-0.274,-0.958,-0.639
studded,0.0,-0.15,0.0,0.0
student,0.81,0.074,0.81,0.667
student council,0.875,0.234,0.875,0.583
student loan,-0.167,0.064,-0.167,0.0
student teaching,0.875,0.3,0.875,0.556
student union,0.833,0.322,0.833,0.556
studentship,0.394,-0.37,0.143,0.394
studied,0.727,0.612,-0.143,0.727
studies,0.606,0.542,0.185,0.606
studio,0.111,0.24,0.111,0.037
studio album,0.167,0.186,0.167,0.139
studious,0.697,0.556,0.619,0.697
studiously,0.545,0.458,-0.167,0.545
studiousness,0.515,0.458,0.238,0.515
study,0.879,0.536,0.037,0.879
study abroad,0.875,0.222,0.875,0.273
stuff it,-0.5,-0.104,-0.5,-0.455
stuffed animal,0.958,-0.373,0.958,0.455
stuffily,-0.583,-0.583,-0.583,-0.367
stuffiness,-0.667,-0.208,-0.667,-0.364
stuffy,-0.542,-0.188,-0.542,-0.133
stumble,-0.333,-0.482,0.0,-0.333
stumble into,0.222,-0.31,0.222,-0.091
stumble on,-0.2,0.072,-0.2,0.028
stumble upon,0.296,-0.166,0.296,0.0
stumped,-0.458,-0.216,-0.458,-0.091
stumpy,-0.429,-0.611,-0.429,-0.152
stun,-0.458,-0.098,-0.458,-0.03
stung,-0.63,-0.625,-0.63,-0.222
stunk,-0.852,-0.625,-0.722,-0.852
stunned,-0.167,-0.288,-0.167,0.0
stunning,0.667,0.716,0.667,0.061
stunt,-0.394,0.052,-0.259,-0.394
stunt double,0.333,0.13,0.238,0.333
stunted,-0.667,-0.45,-0.667,-0.182
stupefaction,-0.381,-0.04,-0.381,-0.067
stupefied,-0.481,-0.778,-0.481,-0.139
stupefy,-0.542,-0.176,-0.542,-0.3
stupendous,0.481,0.596,0.481,0.121
stupid,-0.905,-0.6,-0.905,-0.333
stupidest,-0.833,-0.376,-0.833,-0.583
stupidity,-0.815,-0.698,-0.815,-0.467
stupidly,-0.667,-0.905,-0.667,-0.333
stupidpeople,-0.944,-0.762,-0.944,-0.633
stupidrain,-0.625,-0.366,-0.625,-0.083
stupor,-0.667,-0.34,-0.667,-0.333
sturdily,0.697,0.667,0.25,0.697
sturdiness,0.697,0.852,0.292,0.697
stutter,0.417,-0.484,0.417,-0.03
stutterer,-0.476,-0.792,-0.476,0.083
sty,-0.333,-0.55,-0.333,-0.133
style,0.417,0.172,0.417,0.1
stylebook,0.606,0.238,0.0,0.606
styling,0.571,0.304,0.571,0.091
stylish,0.458,0.378,0.458,0.121
stylishly,0.25,0.444,0.25,0.194
stylishness,0.524,0.481,0.524,0.148
stylist,0.542,0.0,0.542,0.182
stylistic,0.133,0.333,0.133,0.067
stylistically,0.185,0.333,0.185,0.056
stylization,0.121,0.571,0.048,0.121
stylize,0.095,0.519,0.095,0.028
stymie,-0.619,-0.519,-0.619,-0.333
suave,0.792,-0.462,0.792,0.121
suavely,0.63,0.571,0.63,0.481
suaveness,0.6,0.611,0.6,0.091
sub par,-0.462,-0.206,-0.407,-0.462
subarctic,-0.875,0.0,-0.875,0.0
subatomic,-0.333,-0.018,-0.333,0.0
subcommittee,0.152,0.2,0.042,0.152
subcutaneous,-0.571,-0.248,-0.571,0.091
subdominant,-0.381,-0.542,-0.381,0.03
subduction,0.0,-0.11,0.0,0.0
subdue,-0.619,0.568,-0.619,0.152
subdued,-0.292,-0.554,-0.292,0.1
subdural,-0.143,-0.15,-0.143,0.0
subfloor,-0.375,-0.381,-0.375,0.0
subfreezing,-0.926,0.0,-0.926,0.0
subgrade,-0.167,-0.259,-0.167,0.0
subhuman,-0.905,0.0,-0.905,-0.767
subito,-0.167,0.154,-0.167,0.0
subject matter,0.121,0.25,0.0,0.121
subject to,-0.095,-0.034,-0.095,-0.033
subjected,-0.583,-0.558,-0.583,-0.25
subjection,-0.593,0.078,-0.593,-0.185
subjugate,-0.778,0.875,-0.75,-0.778
subjugation,-0.792,-0.246,-0.792,-0.778
subjugator,-0.939,1.0,-0.867,-0.939
sublevel,-0.095,-0.334,-0.095,0.03
sublime,0.875,0.17,0.875,0.111
sublimely,0.667,0.444,0.667,0.278
sublimity,0.667,0.625,0.476,0.667
submariner,0.333,0.625,-0.111,0.333
submenu,0.03,-0.083,0.0,0.03
submerged,-0.476,-0.286,-0.476,0.061
submergence,-0.524,-0.852,-0.524,-0.1
submergible,0.0,-0.625,0.0,0.0
submersed,-0.571,-0.625,-0.571,0.028
submissiveness,0.095,-1.0,0.095,0.083
submit,0.556,0.0,-0.208,0.556
submitting,0.533,0.222,-0.125,0.533
subnormal,-0.714,-0.944,-0.714,-0.697
suboptimal,-0.375,-0.619,-0.375,-0.259
subordinate,-0.333,-0.758,-0.333,0.111
subordination,-0.625,-0.314,-0.625,-0.292
subpar,-0.636,-0.833,-0.625,-0.636
subpoena,-0.625,0.11,-0.625,0.061
subprime,-0.692,-0.815,-0.667,-0.692
subscribe,0.667,0.182,0.667,0.233
subscribe for,0.25,0.276,0.111,0.25
subscribe to,0.481,-0.044,0.481,0.472
subsequently,0.139,-0.328,0.083,0.139
subservience,-0.4,-0.889,-0.4,-0.3
subservient,-0.567,-0.322,-0.429,-0.567
subserviently,-0.593,-1.0,-0.593,-0.37
subside,0.208,-0.582,0.208,0.0
subsidence,-0.583,-0.096,-0.583,-0.037
subsidiarity,0.242,-0.208,0.143,0.242
subsidization,0.5,0.37,0.389,0.5
subspecialty,-0.083,0.37,-0.083,0.0
substance abuse,-0.867,-0.226,-0.792,-0.867
substandard,-0.667,-0.7,-0.667,-0.633
substantiality,0.528,0.458,-0.095,0.528
substantially,0.3,0.368,0.0,0.3
substantively,0.333,0.476,0.042,0.333
substituted,-0.367,-0.212,-0.042,-0.367
subterfuge,-0.788,0.556,-0.704,-0.788
subterraneous,-0.524,0.0,-0.524,0.0
subtext,-0.133,-0.176,-0.042,-0.133
subtle,0.292,-0.544,0.292,0.167
subtly,-0.185,0.25,-0.185,0.077
subtract,-0.417,-0.434,-0.417,0.0
subtraction,-0.095,-0.302,-0.095,0.0
subtropical,0.381,0.0,0.381,0.083
suburb,0.429,-0.118,0.429,0.03
subversion,-0.727,-0.17,-0.619,-0.727
subversive,-0.639,0.0,-0.5,-0.639
subvert,-0.697,0.072,-0.625,-0.697
subway station,-0.333,0.0,-0.333,0.111
subway system,0.212,0.488,-0.167,0.212
subwoofer,0.0,-0.148,0.0,0.0
subzero,-0.952,0.0,-0.952,0.0
succeed,0.852,0.852,0.6,0.852
succeeding,0.708,0.698,0.708,0.633
success,0.806,0.981,0.762,0.806
success story,0.958,0.646,0.958,0.25
successful,0.611,0.876,0.611,0.533
successfully,0.381,0.917,0.381,0.095
successfulness,0.792,1.0,0.792,0.278
succession,0.278,0.174,0.2,0.278
successional,0.083,0.292,0.083,0.033
successive,0.6,0.036,0.048,0.6
successively,0.273,0.667,0.148,0.273
successiveness,0.333,0.389,0.333,0.121
successor,0.6,0.296,0.0,0.6
succinctly,0.238,0.37,0.125,0.238
succinctness,0.833,0.556,0.148,0.833
succor,1.0,-0.333,1.0,0.767
succulence,0.852,0.25,0.852,0.1
succulent,0.792,0.112,0.792,0.074
succulently,0.542,0.0,0.542,0.121
succumb,-0.429,-0.416,-0.429,-0.259
such that,0.0,-0.112,0.0,0.0
suck,-0.917,-0.246,-0.917,-0.636
suck at,-0.667,-1.0,-0.667,-0.633
suck in,-0.606,-0.208,-0.524,-0.606
suck up,-0.611,-0.48,-0.611,-0.576
sucked in,-0.722,-0.434,-0.519,-0.722
sucker,-0.741,-0.592,-0.741,-0.606
sucker punch,-0.909,-0.204,-0.778,-0.909
suckerfish,-0.704,-0.75,-0.704,-0.133
sucking,-0.375,-0.246,-0.375,-0.222
suckle,0.792,-0.667,0.792,0.121
sucks,-0.792,-0.396,-0.792,-0.292
sudden death,-0.926,-0.5,-0.926,-0.152
suddenly,-0.238,-0.088,-0.238,0.0
suddenness,-0.083,0.111,-0.083,0.03
sudsy,0.208,0.0,0.208,0.074
sue,-0.375,0.358,-0.375,-0.1
sued,-0.667,-0.571,-0.667,-0.606
suet,0.042,0.0,0.042,0.0
suffer,-0.625,-0.482,-0.625,-0.152
suffer from,-0.458,-0.572,-0.458,-0.182
sufferance,-0.583,-0.667,-0.583,-0.074
sufferer,0.889,-0.444,0.889,0.074
