term,valence,arousal,dominance
icicled,-0.208,-0.926,-0.143
icily,-0.667,-0.75,-0.148
iciness,-0.389,-1.0,-0.125
icing,0.376,-0.096,-0.178
icky,-0.286,0.02,-0.316
icon,0.098,-0.302,-0.17
iconic,0.166,0.074,0.4
iconoclasm,-0.667,0.593,0.667
iconoclast,-0.333,0.667,0.75
iconoclastic,0.083,0.667,0.75
iconoclastically,-0.125,0.667,0.917
iconographer,0.4,0.542,0.296
iconographic,0.625,-0.222,0.458
iconographical,0.074,-0.074,0.222
iconography,0.204,-0.236,0.306
iconological,0.0,-0.5,0.407
iconologist,0.0,-0.667,0.5
iconology,0.0,-0.476,0.375
icu,-0.562,0.254,-0.166
icy,0.368,-0.25,-0.31
id,-0.102,-0.312,-0.218
idea,0.5,0.076,0.408
ideal,0.604,-0.126,0.472
idealess,-0.667,-0.889,-0.917
idealism,0.27,-0.128,0.378
idealist,0.632,0.02,0.604
idealistic,0.624,-0.062,0.51
idealistically,0.963,-0.667,0.333
ideality,0.963,-0.333,0.5
idealization,0.81,-0.542,0.185
idealize,0.714,-0.524,0.417
idealizer,0.571,-0.667,0.625
ideally,1.0,-0.852,0.417
idealness,1.0,-0.5,0.481
ideals,1.0,0.0,0.625
identical,0.27,-0.24,0.054
identically,0.334,-0.146,-0.026
identifiable,0.667,-0.048,0.37
identification,0.428,-0.098,0.384
identified,0.571,0.0,0.333
identifier,0.667,0.111,0.583
identify,0.27,-0.04,0.334
identify with,0.166,-0.08,0.3
identities,0.042,0.0,0.0
identity,0.326,-0.28,0.56
identity crisis,-0.234,0.178,-0.08
identity theft,-0.6,0.286,0.0
ideogram,0.0,-0.667,0.238
ideograph,0.0,-0.583,0.185
ideographic,0.0,0.0,0.556
ideographical,0.0,-0.148,0.63
ideographically,0.0,0.0,0.167
ideography,0.0,-0.667,0.556
ideological,-0.042,-0.667,0.417
ideologically,0.0,-0.074,0.417
ideologist,-0.148,0.667,0.762
ideologue,-0.467,0.667,0.667
ideology,0.146,-0.312,0.384
idiocy,-0.776,0.27,-0.843
idiographic,0.0,-0.667,0.381
idiom,0.04,-0.326,-0.11
idiomatic,0.308,-0.142,0.032
idiomatically,0.222,0.333,0.222
idiomorphic,0.0,-0.519,0.067
idiopathic,-0.667,-0.417,-0.593
idiosyncrasy,0.0,0.0,0.0
idiosyncratic,0.167,-0.556,0.042
idiosyncratically,0.048,0.222,0.125
idiot,-0.828,0.134,-0.887
idiotic,-0.792,0.24,-0.66
idiotically,-1.0,0.389,-0.815
idiots,-0.714,0.2,-0.712
idk,-0.354,-0.074,-0.56
idle,-0.642,-0.666,-0.888
idleness,-0.384,-0.34,-0.544
idler,-0.6,-0.392,-0.612
idly,0.0,-1.0,-0.519
idol,0.368,0.61,0.706
idolatrous,-0.667,-0.444,-0.533
idolatry,-0.27,0.142,0.25
idolism,0.667,0.037,0.458
idolization,0.667,0.667,0.556
idolize,0.875,0.625,0.25
idolizer,0.238,0.571,0.381
idolizing,0.352,0.424,0.286
idyll,1.0,-0.958,0.333
idyllic,0.142,-0.212,0.186
idyllically,1.0,-0.963,0.25
if,0.0,0.0,0.0
if ever,-0.136,-0.26,-0.038
if not,-0.518,-0.124,-0.594
if only,-0.13,-0.28,-0.29
if so,-0.166,-0.156,-0.242
if that,-0.258,-0.164,-0.448
iffy,-0.24,-0.116,-0.334
ifonly,-0.188,-0.5,-0.49
igloo,0.138,-0.396,-0.31
igneous,-0.062,-0.068,0.034
ignitability,-0.042,0.556,0.148
ignite,-0.084,0.57,0.35
igniter,0.167,0.944,0.778
ignition,-0.27,0.44,0.314
ignobility,-0.944,-0.542,-0.852
ignoble,-1.0,-0.625,-0.583
ignominious,-0.714,-0.375,-0.815
ignominiously,-1.0,0.667,-0.667
ignorable,-0.333,-1.0,-0.81
ignoramus,-0.857,-0.556,-1.0
ignorance,-0.694,-0.166,-0.582
ignorant,-0.796,-0.078,-0.554
ignorantly,-0.667,-0.6,-0.542
ignore,-0.708,-0.44,-0.41
ignored,-0.667,-1.0,-0.667
ignorer,-0.667,0.381,0.37
iguana,0.042,-0.53,-0.418
ihatespiders,-0.489,0.222,-0.16
ilk,-0.124,-0.098,-0.09
ill,-0.854,-0.18,-0.6
ill advised,-0.5,-0.08,-0.482
ill effects,-0.612,-0.03,-0.568
ill informed,-0.5,-0.076,-0.282
ill will,-0.552,-0.12,-0.572
illegal,-0.878,0.574,-0.326
illegal alien,-0.5,0.262,-0.38
illegal immigrant,-0.556,0.41,-0.108
illegality,-0.812,0.27,-0.146
illegalize,-0.63,0.667,0.778
illegally,-0.734,0.576,-0.196
illegibility,-0.667,-1.0,-0.704
illegible,-0.408,-0.02,-0.37
illegibly,-0.667,-0.5,-0.5
illegitimacy,-0.667,0.5,-0.467
illegitimate,-0.632,0.288,-0.396
illegitimately,-0.857,0.056,-0.333
illegitimatize,-1.0,0.476,0.667
illicit,-0.624,0.588,-0.22
illicitly,-0.667,0.667,-0.625
illicitness,-0.905,-0.593,-0.619
illiteracy,-0.667,-0.625,-0.815
illiterate,-0.76,-0.18,-0.698
illiterately,-0.714,-0.19,-0.917
illness,-0.804,0.434,-0.578
illogic,-0.833,0.048,-0.625
illogical,-0.584,0.26,-0.498
illogicality,-0.792,-0.625,-0.704
illogically,-0.667,0.0,-0.333
illuminable,0.667,0.333,-0.125
illuminant,0.556,0.042,0.542
illuminate,0.81,0.292,0.564
illuminated,1.0,0.111,0.458
illuminati,-0.333,0.619,1.0
illuminating,0.898,0.226,0.546
illumination,0.52,0.176,0.074
illuminative,0.778,0.222,0.583
illuminator,0.54,0.132,0.436
illuminist,0.667,0.593,0.5
illusion,0.124,-0.02,-0.226
illusionary,-0.333,-0.048,-0.333
illusionism,0.5,0.571,0.222
illusionist,0.444,0.708,0.63
illusionistic,0.286,0.111,-0.048
illusive,-0.333,0.259,-0.333
illusively,-0.333,-0.083,-0.25
illusiveness,-0.389,-0.667,-0.208
illusory,-0.333,0.0,-0.556
illustratable,0.667,-0.5,0.25
illustrate,0.5,-0.14,0.38
illustration,0.48,-0.118,0.28
illustrational,0.458,0.0,0.125
illustrative,0.542,-0.096,0.294
illustratively,0.417,-0.333,0.333
illustrator,0.542,0.519,0.583
illustrious,0.346,0.1,0.482
illustriously,0.958,-0.593,0.704
illustriousness,1.0,-0.407,0.741
ilovechristmas,0.77,0.18,0.05
iloveher,0.5,0.038,0.112
image,0.306,-0.518,-0.094
imageless,-0.333,-1.0,-0.381
imager,0.667,0.333,0.571
imagery,0.306,-0.346,-0.22
imaginable,0.226,0.058,0.192
imaginably,0.667,0.333,0.238
imaginary,0.12,-0.152,-0.38
imagination,0.604,-0.018,0.094
imaginative,0.56,0.082,0.186
imaginatively,0.708,0.5,0.208
imaginativeness,0.917,0.63,0.583
imagine,0.518,-0.04,0.174
imagined,0.312,-0.176,-0.164
imaginer,0.417,0.286,0.583
imaging,0.448,-0.212,-0.036
imagining,0.53,-0.084,0.09
imam,0.054,-0.326,0.078
imbalance,-0.77,0.076,-0.472
imbecile,-0.836,0.138,-0.48
imbecilic,-1.0,-0.381,-1.0
imbecility,-1.0,-0.667,-1.0
imbed,0.0,0.63,0.407
imbedded,-0.188,0.16,0.124
imbibe,0.583,0.583,0.125
imbiber,-0.19,0.593,-0.333
imbue,0.625,-0.5,0.556
imbursement,0.444,-0.333,0.292
imho,-0.2,-0.308,-0.13
imissyou,-0.04,0.216,-0.312
imitable,0.333,0.0,0.292
imitate,-0.062,0.122,-0.328
imitated,-0.334,-0.218,-0.116
imitation,-0.188,0.184,-0.314
imitative,0.333,0.238,-0.37
imitatively,0.0,0.533,-0.476
imitator,-0.333,0.667,-0.417
immaculate,0.396,-0.34,0.376
immaculately,1.0,-0.857,0.625
immaculateness,1.0,-1.0,0.593
immaterial,-0.408,-0.382,-0.41
immaterialism,-0.042,-1.0,0.0
immaterialist,0.0,0.0,0.333
immateriality,-0.042,-0.952,-0.519
immaterialize,0.0,-0.889,-0.905
immaterially,0.0,-0.926,-0.167
immature,-0.772,0.0,-0.6
immaturely,-0.667,0.333,-0.852
immaturity,-0.708,0.134,-0.558
immeasurability,-0.333,-1.0,-0.333
immeasurable,0.02,0.078,0.424
immeasurableness,0.0,-0.852,0.148
immeasurably,0.02,0.28,0.36
immediacy,0.27,0.26,0.254
immediate,0.312,0.096,0.432
immediately,0.104,0.56,0.414
immediateness,0.519,0.667,0.667
immemorial,-0.346,-0.062,-0.092
immense,0.51,0.5,0.622
immensely,0.63,0.111,0.476
immenseness,0.667,-0.63,0.704
immensity,0.583,-0.741,0.852
immergence,0.048,0.619,0.292
immerse,0.02,0.154,0.018
immersion,0.02,0.112,0.128
immersionist,0.0,0.708,0.167
immersive,0.667,0.667,0.476
immigrant,-0.286,0.326,0.018
immigrate,0.0,0.667,0.0
immigration,-0.22,0.334,-0.092
imminence,-0.556,0.667,0.5
imminent,-0.02,0.568,0.286
imminently,0.0,0.625,0.444
immobile,-0.55,-0.566,-0.404
immobility,-0.619,-1.0,-0.852
immobilization,-0.667,-0.75,-0.889
immobilize,-0.667,-0.952,0.708
immobilizer,-0.667,-0.917,0.5
immoderate,-0.667,0.667,0.333
immoderately,-0.667,0.926,0.296
immoderation,-0.667,0.667,-0.375
immodest,-0.667,0.619,0.667
immodestly,-0.611,0.222,-0.259
immodesty,-0.619,0.667,0.583
immolate,-1.0,0.778,0.792
immolation,-0.917,0.944,-0.704
immoral,-0.714,0.244,-0.23
immoralist,-0.905,-0.556,0.708
immorality,-0.624,0.378,-0.37
immorally,-0.952,0.571,-0.667
immortal,0.624,0.5,0.59
immortality,0.376,0.27,0.722
immortalization,0.952,0.667,0.667
immortalize,1.0,0.708,0.81
immortalizer,0.952,0.556,0.958
immortally,1.0,-1.0,0.81
immovability,0.333,-1.0,0.917
immovable,-0.04,-0.38,0.142
immovably,0.0,-1.0,0.926
immune,0.258,-0.056,0.56
immune response,-0.066,0.284,0.334
immune system,0.466,0.048,0.434
immunity,0.266,-0.368,0.572
immunization,0.334,0.02,0.466
immunize,1.0,0.667,0.833
immunochemistry,0.583,-0.417,0.571
immunodeficiency,-0.708,-0.667,-0.857
immunogenic,0.889,0.625,0.444
immunoglobulin,0.5,-0.5,0.292
immunologic,0.619,-0.444,0.556
immunological,0.667,-0.593,0.519
immunologically,0.667,-0.667,0.524
immunologist,0.708,0.667,0.714
immunology,0.667,0.0,0.667
immunosuppressant,-0.667,-0.667,-0.519
immunosuppression,-0.667,-0.815,-0.963
immunosuppressive,-0.667,-0.667,-0.583
immunotherapy,0.889,0.593,0.593
immutability,0.542,-1.0,0.708
immutable,-0.146,-0.138,0.142
immutably,0.667,-0.963,0.593
imp,-0.3,-0.104,-0.16
impact,-0.062,0.768,0.552
impactful,0.234,0.238,0.096
impaction,-0.667,0.667,-0.333
impair,-0.694,0.0,-0.28
impaired,-0.74,-0.082,-0.462
impairer,-0.667,0.63,0.583
impairment,-0.66,0.142,-0.56
impala,0.333,0.667,0.143
impale,-0.963,1.0,0.875
impalement,-1.0,0.952,-0.167
impalpability,-0.625,-0.875,-0.619
impalpable,-0.333,-1.0,-0.37
impalpably,0.0,-0.963,-0.222
imparity,-0.593,-0.667,-0.333
impart,0.042,-0.118,0.388
imparter,0.667,0.63,0.5
impartial,0.062,-0.188,0.37
impartiality,0.244,-0.212,0.232
impartially,0.667,0.0,0.667
impartialness,0.667,-0.81,0.375
impartibility,-0.042,-0.667,0.571
impassability,-0.667,-0.875,-0.667
impassable,-0.316,-0.084,0.106
impassably,-0.667,-0.833,-0.778
impasse,-0.667,-0.667,-0.667
impassibility,-0.63,-1.0,-0.481
impassible,-0.389,-1.0,-0.267
impassion,0.667,0.667,0.611
impassionate,-0.125,0.926,0.292
impassioned,0.48,0.56,0.604
impassive,-0.333,-1.0,-0.571
impassively,-0.2,-1.0,-0.167
impassiveness,-0.333,-1.0,0.167
impassivity,-0.333,-1.0,0.407
impatience,-0.444,0.56,-0.178
impatient,-0.5,0.416,-0.142
impatiently,-0.612,0.5,0.078
impeach,-0.584,0.552,0.328
impeachability,-0.524,0.667,-0.296
impeachable,-0.667,0.667,0.741
impeacher,-0.667,0.625,0.778
impeachment,-0.674,0.47,0.388
impeccability,1.0,-0.667,0.667
impeccable,0.666,-0.26,0.648
impeccably,1.0,-0.571,0.889
impedance,-0.292,0.0,0.381
impede,-0.458,0.02,0.208
impeder,-0.667,0.667,0.333
impediment,-0.674,0.2,-0.182
impedimental,-0.667,-0.667,-0.619
impedimentary,-0.667,-0.667,-0.593
impel,0.0,1.0,0.75
impelled,0.208,0.482,0.38
impend,-0.556,0.667,0.286
impending,-0.04,0.47,0.504
impenetrability,-0.571,-1.0,0.667
impenetrable,0.062,0.154,0.678
impenetrableness,-0.63,-1.0,0.875
impenetrably,-0.667,-0.667,0.815
impenetrate,-0.333,0.095,0.708
imperative,0.25,0.294,0.416
imperatively,0.0,0.714,0.889
imperativeness,-0.111,0.667,0.889
imperceptibility,-0.429,-0.944,-0.381
imperceptible,-0.244,-0.02,0.096
imperceptibleness,-0.375,-0.944,-0.815
imperceptibly,-0.042,-1.0,-0.958
imperceptive,-0.667,-0.667,-0.952
imperceptiveness,-0.667,-1.0,-0.875
imperceptivity,-0.37,-0.958,-0.762
imperfect,-0.654,0.054,-0.596
imperfection,-0.62,0.134,-0.358
imperfectly,-0.406,-0.038,-0.34
imperfectness,-0.625,-0.5,-0.667
imperial,0.338,0.292,0.844
imperialism,-0.667,0.63,1.0
imperialist,-0.432,0.572,0.666
imperialistic,-0.667,0.63,1.0
imperialistically,-0.667,0.667,0.875
imperialize,-0.667,0.667,0.857
imperially,0.556,0.067,0.875
imperil,-0.958,0.667,-0.63
imperilment,-0.958,0.667,-0.63
imperious,-0.667,0.792,0.963
imperiously,-0.667,0.667,1.0
imperiousness,-0.667,-0.37,1.0
imperishability,0.667,-0.917,0.619
imperishable,1.0,-0.958,1.0
imperishably,0.917,-1.0,0.667
imperium,0.667,0.667,0.926
impermanence,-0.4,-1.0,-0.625
impermanency,-0.519,0.625,-0.417
impermanent,-0.381,-0.926,-0.458
impermeability,0.0,-1.0,0.708
impermeable,0.02,-0.384,0.116
impermeably,-0.63,-0.952,0.875
impermissible,-0.624,-0.072,-0.296
impersonal,-0.368,-0.288,-0.056
impersonality,-0.476,-0.963,-0.333
impersonalize,-0.611,-0.556,0.5
impersonally,-0.375,-0.667,-0.25
impersonate,0.02,0.264,0.182
impersonation,-0.25,0.236,0.056
impersonator,-0.062,0.172,-0.188
impertinence,-0.66,0.306,-0.16
impertinency,-0.667,0.667,-0.407
impertinent,-0.562,0.652,-0.254
impertinently,-0.667,0.667,-0.185
imperturbability,0.852,-1.0,0.958
imperturbable,1.0,-1.0,0.917
imperturbably,0.476,-0.963,0.792
impervious,0.164,-0.184,0.072
imperviously,-0.375,-0.852,0.704
imperviousness,-0.333,-0.583,0.667
impetuosity,-0.667,0.81,0.533
impetuous,0.204,0.628,0.424
impetuously,0.0,0.917,-0.042
impetuousness,-0.583,0.917,-0.25
impetus,0.042,0.48,0.27
impiety,-0.889,0.625,-0.375
impinge,-0.667,0.714,0.63
impingement,-0.667,0.5,-0.481
impiously,-1.0,0.556,-0.444
impish,0.333,0.667,-0.167
impishly,0.458,0.556,-0.19
impishness,0.333,0.667,-0.333
implacability,-0.667,-0.63,0.833
implacable,0.138,0.326,0.66
implacableness,-0.81,0.37,1.0
implacably,-0.905,-0.519,0.667
implant,-0.142,0.02,0.176
implantable,0.667,-0.333,0.476
implantation,-0.208,0.208,0.482
implanted,-0.306,0.0,0.358
implanter,-0.048,0.571,0.63
implausibility,-0.667,-0.519,-0.481
implausible,-0.667,0.048,-0.542
implausibly,-0.667,-0.593,-0.37
implement,0.44,0.146,0.584
implemental,0.042,0.667,0.417
implementation,0.334,0.178,0.344
implementer,0.625,0.667,0.611
implicate,-0.5,0.34,-0.132
implicated,-0.292,0.346,-0.124
implication,-0.326,0.056,0.38
implicational,0.0,-0.519,0.148
implicative,0.0,0.296,0.333
implicatively,0.0,0.0,0.296
implicit,0.0,-0.667,0.167
implicitly,0.083,-0.625,-0.333
implicitness,0.0,-0.593,-0.296
implied,-0.346,0.06,-0.038
implies,0.0,0.417,0.25
implode,-0.762,1.0,0.37
implore,-0.208,0.3,-0.246
implorer,-0.333,0.667,-0.958
implosion,-0.176,0.448,0.094
implosive,-0.444,0.667,-0.333
implosively,-0.208,1.0,0.0
imply,0.042,0.34,0.066
impolite,-0.666,0.18,-0.436
impolitely,-0.733,-0.556,-0.542
impoliteness,-1.0,0.625,-0.5
imponderability,-0.286,-0.926,-0.375
imponderable,0.0,-0.667,-0.292
imponderably,0.0,-0.667,-0.333
import,0.23,-0.04,0.246
importability,0.333,-0.667,0.292
importable,0.667,-0.667,0.185
importance,0.5,0.16,0.728
important,0.654,0.26,0.672
important person,0.742,0.264,0.634
importantly,0.667,0.0,0.667
importation,0.25,0.0,0.466
importer,0.111,0.619,0.667
impose,0.006,0.442,0.49
impose on,-0.518,0.032,-0.034
imposed,-0.625,0.667,0.37
imposer,-0.667,0.778,0.917
imposing,-0.216,0.462,0.672
imposition,-0.286,0.208,0.236
impossibility,-0.66,0.25,-0.388
impossible,-0.694,0.02,-0.186
impossibly,-0.429,0.0,-0.238
imposter,-0.548,0.096,-0.242
impostor,-0.73,0.408,-0.116
imposture,-0.815,0.667,-0.417
impotence,-0.604,0.378,-0.552
impotency,-0.667,-0.667,-1.0
impotent,-0.708,0.174,-0.334
impotently,-0.667,-0.667,-0.905
impound,-0.54,0.174,0.166
impounder,-0.533,0.667,0.875
impoundment,-0.4,-0.667,0.63
impoverish,-1.0,-0.444,-0.667
impoverished,-0.75,-0.378,-0.594
impoverishment,-1.0,-0.667,-1.0
impracticability,-0.714,-0.917,-0.778
impracticable,-0.204,0.098,-0.238
impracticably,-0.667,-0.667,-0.667
impractical,-0.68,-0.254,-0.418
impracticality,-0.667,-0.556,-0.667
imprecise,-0.667,-0.417,-0.583
imprecisely,-0.6,-0.542,-0.571
imprecision,-0.667,-0.593,-0.556
impregnability,0.667,-0.667,1.0
impregnable,-0.244,0.098,0.334
impregnably,0.611,-0.792,0.857
impregnate,0.02,0.442,0.31
impregnation,0.042,0.667,0.481
impregnator,-0.292,0.667,0.833
impresario,0.667,0.667,0.889
impress,0.632,0.488,0.79
impressed,0.612,0.54,-0.142
impressed with,0.758,0.37,0.068
impressibility,0.5,-0.667,-0.63
impressible,0.429,-0.333,-0.792
impression,0.368,0.114,0.154
impressionability,0.0,-0.185,-0.667
impressionable,0.654,0.44,0.29
impressionably,0.0,-0.25,-0.542
impressionism,0.667,0.143,0.481
impressionist,0.714,0.037,0.375
impressionistic,0.476,0.333,0.296
impressionistically,0.25,0.125,0.167
impressive,0.562,0.66,0.746
impressively,0.833,0.6,0.583
impressiveness,0.905,0.048,0.708
imprint,0.23,0.148,0.37
imprinter,-0.048,0.667,0.259
imprison,-0.776,0.658,0.09
imprisoned,-0.936,0.434,-0.396
imprisonment,-0.734,0.26,-0.058
improbability,-0.667,-0.778,-0.296
improbable,-0.806,-0.176,-0.122
improbably,-0.083,0.0,-0.5
impromptu,0.082,0.458,-0.17
improper,-0.438,0.04,-0.482
improperly,-0.667,-0.444,-0.458
improperness,-0.926,-0.481,-0.444
impropriety,-0.742,0.182,-0.222
improvability,0.958,0.333,0.583
improvable,0.667,0.095,0.333
improve,0.666,0.056,0.63
improve on,0.536,0.206,0.178
improve upon,0.414,0.14,0.434
improved,0.838,-0.04,0.358
improvement,0.572,0.0,0.222
improver,0.625,0.667,0.519
improves,0.858,0.25,0.454
improvidence,-0.667,-0.667,-0.667
improving,0.822,0.02,0.364
improvisation,0.262,0.624,0.058
improvisational,0.667,0.667,0.407
improvisatory,0.611,0.625,0.542
improvise,0.292,0.3,0.038
improvised,0.22,0.346,-0.114
improviser,0.704,0.667,0.667
imprudence,-0.762,0.667,-0.625
imprudent,-0.66,0.352,-0.47
imprudently,-0.667,0.542,-0.667
impudence,-0.572,0.0,-0.056
impudent,-0.396,0.208,-0.076
impudently,-0.708,0.667,-0.167
impugnation,-0.667,0.667,0.667
impulse,0.06,0.68,0.222
impulse buy,-0.31,0.054,-0.218
impulsion,0.481,0.958,0.857
impulsive,-0.27,0.728,0.214
impulsively,-0.167,1.0,-0.458
impulsiveness,-0.667,1.0,-0.533
impulsivity,-0.611,0.667,-0.583
impunity,-0.374,0.442,0.204
impure,-0.48,0.12,-0.584
impurely,-0.667,0.0,-0.542
impureness,-0.667,-0.296,-0.704
impurity,-0.654,0.092,-0.388
imputable,-0.5,0.667,0.458
imputation,-0.334,0.308,0.242
imputative,-0.333,0.583,0.37
impute,-0.519,0.476,0.333
imtryingtosleep,-0.124,-0.274,-0.23
in action,0.13,0.158,0.138
in addition,0.124,-0.11,0.228
in advance,0.354,-0.258,0.13
in agreement,0.334,-0.27,0.068
in all,0.094,-0.136,-0.064
in back,-0.37,-0.174,-0.206
in bed,0.138,-0.456,-0.206
in between,-0.178,-0.088,0.066
in box,-0.26,-0.374,-0.3
in business,0.51,0.152,0.242
in cahoots,-0.172,0.114,-0.096
in camera,0.0,-0.032,-0.034
in case,-0.322,-0.222,0.21
in cash,0.218,0.082,0.226
in character,0.104,-0.326,0.034
in charge,0.294,0.062,0.424
in circles,-0.194,-0.012,-0.038
in color,0.354,-0.158,0.032
in common,0.162,-0.346,-0.154
in concert,0.034,0.108,0.206
in conclusion,0.206,-0.16,0.344
in contention,0.068,0.172,0.156
in contrast,-0.206,-0.124,-0.25
in control,0.462,-0.112,0.434
in custody,-0.666,0.0,-0.236
in darkness,-0.5,-0.388,-0.138
in debt,-0.566,0.0,-0.534
in demand,0.322,0.3,0.3
in depth,0.062,0.08,0.266
in detail,0.3,-0.032,0.068
in doubt,-0.534,-0.14,-0.42
in earnest,0.04,0.066,0.034
in effect,0.032,-0.048,0.14
in essence,0.206,-0.144,0.128
in evidence,-0.038,-0.032,0.156
in exchange,-0.138,-0.13,-0.034
in fact,-0.162,-0.196,0.034
in fashion,0.548,0.064,-0.036
in favor,0.58,0.118,-0.072
in fine,0.034,-0.298,-0.07
in flight,0.2,0.022,0.072
in focus,0.124,0.108,0.266
in for,-0.234,-0.172,-0.344
in force,-0.156,0.194,0.0
in form,0.094,-0.266,-0.066
in front,0.08,0.016,0.296
in full,0.23,-0.132,0.2
in gear,-0.108,0.15,0.022
in general,-0.038,-0.272,0.066
in hand,0.068,-0.25,-0.096
in heat,-0.344,0.162,0.0
in hiding,-0.534,-0.408,-0.464
in hindsight,-0.02,-0.242,-0.068
in itself,0.2,-0.11,-0.068
in jeopardy,-0.3,0.25,-0.316
in jest,0.034,-0.042,-0.322
in kind,0.188,-0.112,-0.296
in labor,-0.276,0.216,-0.414
in law,0.108,-0.084,0.166
in laws,-0.366,-0.19,0.112
in league,0.0,0.156,-0.034
in lieu,-0.276,-0.316,0.0
in limbo,-0.346,-0.146,-0.406
in line,-0.034,-0.268,-0.226
in love,0.896,0.0,0.106
in memoriam,0.218,0.0,0.142
in mind,0.266,-0.09,0.172
in name,0.068,-0.076,-0.074
in need,-0.134,-0.062,-0.186
in office,0.4,-0.226,0.052
in operation,-0.134,0.108,0.056
in order,0.068,-0.214,0.068
in pain,-0.758,0.18,-0.612
in part,0.02,-0.222,-0.138
in particular,0.124,-0.1,0.076
in passing,0.0,0.072,-0.122
in peace,0.536,-0.412,0.286
in perpetuity,0.258,-0.174,0.0
in person,0.108,0.072,-0.036
in phase,0.108,-0.216,0.034
in place,0.08,-0.152,-0.032
in power,0.234,0.25,0.608
in practice,0.038,0.228,0.066
in private,0.036,-0.284,-0.066
in progress,0.392,0.108,-0.242
in proportion,0.194,-0.29,-0.26
in public,0.096,0.0,0.172
in question,0.062,0.05,-0.31
in re,-0.136,-0.132,-0.26
in reality,0.058,0.098,0.172
in relief,0.666,-0.258,0.108
in reserve,0.038,-0.45,0.0
in retrospect,-0.188,-0.088,-0.066
in return,-0.204,-0.122,0.07
in reverse,-0.516,0.054,-0.296
in season,0.3,-0.132,-0.162
in secret,0.0,-0.216,-0.27
in series,0.188,-0.142,0.072
in shape,0.354,0.0,0.034
in short,0.034,-0.246,-0.276
in sight,0.058,-0.206,0.0
in silence,-0.266,-0.516,-0.452
in spades,-0.172,0.082,-0.072
in step,0.136,-0.03,-0.234
in stitches,0.036,0.162,-0.074
in stock,0.16,0.016,0.266
in store,0.206,-0.156,-0.134
in stride,0.104,-0.046,0.138
in style,0.322,-0.058,0.124
in sum,0.036,-0.126,-0.068
in sync,0.134,-0.098,-0.194
in tandem,-0.036,-0.338,0.096
in tears,-0.5,-0.176,-0.484
in terms,-0.172,-0.212,0.106
in that,0.034,-0.254,-0.344
in theory,-0.094,-0.174,0.2
in time,0.2,-0.154,0.0
in touch,0.0,-0.112,0.0
in tough,-0.746,0.056,-0.31
in tow,0.038,-0.11,-0.388
in town,-0.116,-0.11,-0.14
in trouble,-0.258,0.194,-0.482
in trust,0.414,-0.15,-0.04
in truth,0.322,-0.232,-0.068
in tune,0.0,-0.196,0.0
in turn,-0.042,-0.174,-0.242
in unison,0.2,-0.186,0.266
in use,-0.096,-0.124,-0.104
in utero,-0.188,-0.176,-0.366
in vain,-0.388,-0.076,-0.388
in vitro,-0.194,-0.01,-0.034
in vogue,0.142,-0.016,-0.138
in with,-0.138,-0.094,-0.124
in writing,-0.1,-0.15,0.112
inability,-0.7,0.058,-0.5
inaccessibility,-0.667,-0.952,-0.25
inaccessible,-0.834,0.17,-0.108
inaccessibleness,-0.667,-1.0,0.2
inaccessibly,-0.667,-0.963,-0.417
inaccuracy,-0.75,-0.593,-0.667
inaccurate,-0.73,-0.1,-0.5
inaccurately,-0.667,-0.667,-0.583
inaccurateness,-0.905,-0.481,-0.625
inaction,-0.354,-0.55,-0.35
inactivate,-0.51,-0.52,-0.17
inactivation,-0.604,-0.48,-0.56
inactive,-0.458,-0.83,-0.682
inactively,-0.458,-1.0,-0.857
inactiveness,-0.667,-0.963,-0.8
inactivity,-0.73,-0.714,-0.546
inadaptability,-0.667,-0.667,-0.889
inadaptable,-0.667,-0.611,-0.857
inadequacy,-0.428,0.0,-0.406
inadequate,-0.756,-0.1,-0.554
inadequately,-0.667,-0.267,-0.667
inadequateness,-0.52,0.058,-0.368
inadmissibility,-0.667,-1.0,-0.481
inadmissible,-0.624,0.272,-0.222
inadmissibly,-0.875,-0.583,-0.867
inadvertence,-0.6,-0.667,-0.667
inadvertency,-0.63,-0.926,-0.583
inadvertent,-0.27,-0.264,-0.428
inadvertently,-0.396,0.082,0.098
inadvisability,-0.714,-0.667,-0.556
inadvisable,-0.667,-0.625,-0.571
inaffable,-0.224,0.036,-0.09
inalienability,0.704,-0.625,0.792
inalienable,-0.126,-0.082,0.216
inalienably,0.619,-0.708,0.833
inalterability,-0.083,-0.963,0.875
inalterable,0.0,-1.0,0.778
inalterably,0.0,-1.0,0.556
inane,-0.458,-0.3,-0.464
inanely,-0.667,-0.556,-0.75
inanimate,-0.438,-0.714,-0.552
inanimately,-0.208,-1.0,-0.625
inanimateness,-0.524,-1.0,-0.958
inanity,-0.833,-0.714,-0.714
inapplicability,-0.667,-0.857,-0.704
inapplicable,-0.438,-0.196,-0.34
inapplicably,-0.458,-1.0,-0.444
inappreciable,-0.667,-1.0,-0.917
inappreciably,-0.593,-0.958,-0.375
inappreciative,-0.952,-0.533,-0.333
inapprehensible,-0.667,-0.704,-0.778
inapprehensive,0.5,-0.952,-0.222
inapproachability,-0.667,-0.792,0.75
inapproachable,-0.667,-0.917,0.667
inappropriate,-0.73,0.084,-0.294
inappropriately,-0.708,0.042,-0.583
inappropriateness,-1.0,-0.667,-0.556
inaptitude,-0.714,-0.667,-0.917
inaptly,-0.667,-0.625,-0.667
